2016-10-30T00:00:01: Error: ENOENT: no such file or directory, open '2016-10-30.json'
2016-10-30T00:00:01: 读取文件失败，可能是该文件不存在
2016-10-30T00:07:36: 读取文件成功
2016-10-30T00:07:39: 读取文件成功
2016-10-30T00:07:42: 读取文件成功
2016-10-30T00:07:45: 读取文件成功
2016-10-30T00:07:48: 读取文件成功
2016-10-30T00:07:51: 读取文件成功
2016-10-30T00:07:54: 读取文件成功
2016-10-30T00:07:57: 读取文件成功
2016-10-30T00:08:00: 读取文件成功
2016-10-30T00:08:03: 读取文件成功
2016-10-30T00:08:06: 读取文件成功
2016-10-30T00:08:09: 读取文件成功
2016-10-30T00:08:12: 读取文件成功
2016-10-30T00:08:15: 读取文件成功
2016-10-30T00:08:18: 读取文件成功
2016-10-30T00:08:21: 读取文件成功
2016-10-30T00:08:24: 读取文件成功
2016-10-30T00:08:27: 读取文件成功
2016-10-30T00:08:30: 读取文件成功
2016-10-30T00:08:33: 读取文件成功
2016-10-30T00:08:36: 读取文件成功
2016-10-30T00:08:39: 读取文件成功
2016-10-30T00:08:42: 读取文件成功
2016-10-30T00:08:45: 读取文件成功
2016-10-30T00:08:48: 读取文件成功
2016-10-30T00:08:51: 读取文件成功
2016-10-30T00:08:54: 读取文件成功
2016-10-30T00:08:57: 读取文件成功
2016-10-30T00:09:00: 读取文件成功
2016-10-30T00:09:03: 读取文件成功
2016-10-30T00:09:06: 读取文件成功
2016-10-30T00:09:09: 读取文件成功
2016-10-30T00:09:12: 读取文件成功
2016-10-30T00:09:15: 读取文件成功
2016-10-30T00:09:18: 读取文件成功
2016-10-30T00:09:21: 读取文件成功
2016-10-30T00:09:24: 读取文件成功
2016-10-30T00:09:27: 读取文件成功
2016-10-30T00:09:30: 读取文件成功
2016-10-30T00:09:33: 读取文件成功
2016-10-30T00:09:36: 读取文件成功
2016-10-30T00:09:39: 读取文件成功
2016-10-30T00:09:42: 读取文件成功
2016-10-30T00:09:45: 读取文件成功
2016-10-30T00:09:48: 读取文件成功
2016-10-30T00:09:51: 读取文件成功
2016-10-30T00:09:54: 读取文件成功
2016-10-30T00:09:57: 读取文件成功
2016-10-30T00:10:00: 读取文件成功
2016-10-30T00:10:03: 读取文件成功
2016-10-30T00:10:06: 读取文件成功
2016-10-30T00:10:09: 读取文件成功
2016-10-30T00:10:12: 读取文件成功
2016-10-30T00:10:15: 读取文件成功
2016-10-30T00:10:18: 读取文件成功
2016-10-30T00:10:21: 读取文件成功
2016-10-30T00:10:24: 读取文件成功
2016-10-30T00:10:27: 读取文件成功
2016-10-30T00:10:30: 读取文件成功
2016-10-30T00:10:33: 读取文件成功
2016-10-30T00:10:36: 读取文件成功
2016-10-30T00:10:39: 读取文件成功
2016-10-30T00:10:42: 读取文件成功
2016-10-30T00:10:45: 读取文件成功
2016-10-30T00:10:48: 读取文件成功
2016-10-30T00:10:51: 读取文件成功
2016-10-30T00:10:54: 读取文件成功
2016-10-30T00:10:57: 读取文件成功
2016-10-30T00:11:00: 读取文件成功
2016-10-30T00:11:03: 读取文件成功
2016-10-30T00:11:06: 读取文件成功
2016-10-30T00:11:09: 读取文件成功
2016-10-30T00:11:12: 读取文件成功
2016-10-30T00:11:15: 读取文件成功
2016-10-30T00:11:18: 读取文件成功
2016-10-30T00:11:21: 读取文件成功
2016-10-30T00:11:24: 读取文件成功
2016-10-30T00:11:27: 读取文件成功
2016-10-30T00:11:31: 读取文件成功
2016-10-30T00:11:33: 读取文件成功
2016-10-30T00:11:36: 读取文件成功
2016-10-30T00:11:39: 读取文件成功
2016-10-30T00:11:42: 读取文件成功
2016-10-30T00:11:45: 读取文件成功
2016-10-30T00:11:49: 读取文件成功
2016-10-30T00:11:52: 读取文件成功
2016-10-30T00:11:55: 读取文件成功
2016-10-30T00:11:58: 读取文件成功
2016-10-30T00:12:01: 读取文件成功
2016-10-30T00:12:04: 读取文件成功
2016-10-30T00:12:07: 读取文件成功
2016-10-30T00:12:10: 读取文件成功
2016-10-30T00:12:13: 读取文件成功
2016-10-30T00:12:16: 读取文件成功
2016-10-30T00:12:19: 读取文件成功
2016-10-30T00:12:22: 读取文件成功
2016-10-30T00:12:25: 读取文件成功
2016-10-30T00:12:28: 读取文件成功
2016-10-30T00:12:31: 读取文件成功
2016-10-30T00:12:34: 读取文件成功
2016-10-30T00:12:37: 读取文件成功
2016-10-30T00:12:40: 读取文件成功
2016-10-30T00:12:43: 读取文件成功
2016-10-30T00:12:46: 读取文件成功
2016-10-30T00:12:49: 读取文件成功
2016-10-30T00:12:52: 读取文件成功
2016-10-30T00:12:55: 读取文件成功
2016-10-30T00:12:58: 读取文件成功
2016-10-30T00:13:01: 读取文件成功
2016-10-30T00:13:04: 读取文件成功
2016-10-30T00:13:07: 读取文件成功
2016-10-30T00:13:10: 读取文件成功
2016-10-30T00:13:13: 读取文件成功
2016-10-30T00:13:16: 读取文件成功
2016-10-30T00:13:19: 读取文件成功
2016-10-30T00:13:22: 读取文件成功
2016-10-30T00:13:25: 读取文件成功
2016-10-30T00:13:28: 读取文件成功
2016-10-30T00:13:31: 读取文件成功
2016-10-30T00:13:34: 读取文件成功
2016-10-30T00:13:37: 读取文件成功
2016-10-30T00:13:40: 读取文件成功
2016-10-30T00:13:43: 读取文件成功
2016-10-30T00:13:47: 读取文件成功
2016-10-30T00:13:49: 读取文件成功
2016-10-30T00:13:52: 读取文件成功
2016-10-30T00:13:55: 读取文件成功
2016-10-30T00:13:58: 读取文件成功
2016-10-30T00:14:02: 读取文件成功
2016-10-30T00:14:04: 读取文件成功
2016-10-30T00:14:07: 读取文件成功
2016-10-30T00:14:10: 读取文件成功
2016-10-30T00:14:13: 读取文件成功
2016-10-30T00:14:16: 读取文件成功
2016-10-30T00:14:19: 读取文件成功
2016-10-30T00:14:22: 读取文件成功
2016-10-30T00:14:25: 读取文件成功
2016-10-30T00:14:28: 读取文件成功
2016-10-30T00:14:31: 读取文件成功
2016-10-30T00:14:34: 读取文件成功
2016-10-30T00:14:37: 读取文件成功
2016-10-30T00:14:40: 读取文件成功
2016-10-30T00:14:43: 读取文件成功
2016-10-30T00:14:46: 读取文件成功
2016-10-30T00:14:49: 读取文件成功
2016-10-30T00:14:52: 读取文件成功
2016-10-30T00:14:55: 读取文件成功
2016-10-30T00:14:58: 读取文件成功
2016-10-30T00:15:01: 读取文件成功
2016-10-30T00:15:04: 读取文件成功
2016-10-30T00:15:07: 读取文件成功
2016-10-30T00:15:10: 读取文件成功
2016-10-30T00:15:13: 读取文件成功
2016-10-30T00:15:16: 读取文件成功
2016-10-30T00:15:19: 读取文件成功
2016-10-30T00:15:22: 读取文件成功
2016-10-30T00:15:25: 读取文件成功
2016-10-30T00:15:28: 读取文件成功
2016-10-30T00:15:31: 读取文件成功
2016-10-30T00:15:34: 读取文件成功
2016-10-30T00:15:37: 读取文件成功
2016-10-30T00:15:40: 读取文件成功
2016-10-30T00:15:43: 读取文件成功
2016-10-30T00:15:46: 读取文件成功
2016-10-30T00:15:49: 读取文件成功
2016-10-30T00:15:52: 读取文件成功
2016-10-30T00:15:55: 读取文件成功
2016-10-30T00:15:58: 读取文件成功
2016-10-30T00:16:01: 读取文件成功
2016-10-30T00:16:04: 读取文件成功
2016-10-30T00:16:07: 读取文件成功
2016-10-30T00:16:10: 读取文件成功
2016-10-30T00:16:13: 读取文件成功
2016-10-30T00:16:16: 读取文件成功
2016-10-30T00:16:19: 读取文件成功
2016-10-30T00:16:22: 读取文件成功
2016-10-30T00:16:25: 读取文件成功
2016-10-30T00:16:28: 读取文件成功
2016-10-30T00:16:31: 读取文件成功
2016-10-30T00:16:34: 读取文件成功
2016-10-30T00:16:37: 读取文件成功
2016-10-30T00:16:40: 读取文件成功
2016-10-30T00:16:43: 读取文件成功
2016-10-30T00:16:47: 读取文件成功
2016-10-30T00:16:49: 读取文件成功
2016-10-30T00:16:52: 读取文件成功
2016-10-30T00:16:56: 读取文件成功
2016-10-30T00:16:59: 读取文件成功
2016-10-30T00:17:02: 读取文件成功
2016-10-30T00:17:05: 读取文件成功
2016-10-30T00:17:08: 读取文件成功
2016-10-30T00:17:11: 读取文件成功
2016-10-30T00:17:14: 读取文件成功
2016-10-30T00:17:17: 读取文件成功
2016-10-30T00:17:20: 读取文件成功
2016-10-30T00:17:23: 读取文件成功
2016-10-30T00:17:26: 读取文件成功
2016-10-30T00:17:29: 读取文件成功
2016-10-30T00:17:32: 读取文件成功
2016-10-30T00:17:35: 读取文件成功
2016-10-30T00:17:38: 读取文件成功
2016-10-30T00:17:41: 读取文件成功
2016-10-30T00:17:44: 读取文件成功
2016-10-30T00:17:47: 读取文件成功
2016-10-30T00:17:50: 读取文件成功
2016-10-30T00:17:53: 读取文件成功
2016-10-30T00:17:56: 读取文件成功
2016-10-30T00:17:59: 读取文件成功
2016-10-30T00:18:03: 读取文件成功
2016-10-30T00:18:05: 读取文件成功
2016-10-30T00:18:08: 读取文件成功
2016-10-30T00:18:11: 读取文件成功
2016-10-30T00:18:14: 读取文件成功
2016-10-30T00:18:17: 读取文件成功
2016-10-30T00:18:20: 读取文件成功
2016-10-30T00:18:23: 读取文件成功
2016-10-30T00:18:26: 读取文件成功
2016-10-30T00:18:29: 读取文件成功
2016-10-30T00:18:32: 读取文件成功
2016-10-30T00:18:35: 读取文件成功
2016-10-30T00:18:38: 读取文件成功
2016-10-30T00:18:41: 读取文件成功
2016-10-30T00:18:44: 读取文件成功
2016-10-30T00:18:47: 读取文件成功
2016-10-30T00:18:50: 读取文件成功
2016-10-30T00:18:53: 读取文件成功
2016-10-30T00:18:56: 读取文件成功
2016-10-30T00:18:59: 读取文件成功
2016-10-30T00:19:02: 读取文件成功
2016-10-30T00:19:05: 读取文件成功
2016-10-30T00:19:08: 读取文件成功
2016-10-30T00:19:11: 读取文件成功
2016-10-30T00:19:14: 读取文件成功
2016-10-30T00:19:17: 读取文件成功
2016-10-30T00:19:20: 读取文件成功
2016-10-30T00:19:23: 读取文件成功
2016-10-30T00:19:26: 读取文件成功
2016-10-30T00:19:29: 读取文件成功
2016-10-30T00:19:32: 读取文件成功
2016-10-30T00:19:35: 读取文件成功
2016-10-30T00:19:38: 读取文件成功
2016-10-30T00:19:41: 读取文件成功
2016-10-30T00:19:44: 读取文件成功
2016-10-30T00:19:47: 读取文件成功
2016-10-30T00:19:50: 读取文件成功
2016-10-30T00:19:53: 读取文件成功
2016-10-30T00:19:56: 读取文件成功
2016-10-30T00:19:59: 读取文件成功
2016-10-30T00:20:02: 读取文件成功
2016-10-30T00:20:05: 读取文件成功
2016-10-30T00:20:08: 读取文件成功
2016-10-30T00:20:11: 读取文件成功
2016-10-30T00:20:14: 读取文件成功
2016-10-30T00:20:17: 读取文件成功
2016-10-30T00:20:20: 读取文件成功
2016-10-30T00:20:23: 读取文件成功
2016-10-30T00:20:26: 读取文件成功
2016-10-30T00:20:29: 读取文件成功
2016-10-30T00:20:32: 读取文件成功
2016-10-30T00:20:35: 读取文件成功
2016-10-30T00:20:38: 读取文件成功
2016-10-30T00:20:41: 读取文件成功
2016-10-30T00:20:44: 读取文件成功
2016-10-30T00:20:47: 读取文件成功
2016-10-30T00:20:50: 读取文件成功
2016-10-30T00:20:53: 读取文件成功
2016-10-30T00:20:56: 读取文件成功
2016-10-30T00:20:59: 读取文件成功
2016-10-30T00:21:02: 读取文件成功
2016-10-30T00:21:05: 读取文件成功
2016-10-30T00:21:08: 读取文件成功
2016-10-30T00:21:11: 读取文件成功
2016-10-30T00:21:14: 读取文件成功
2016-10-30T00:21:17: 读取文件成功
2016-10-30T00:21:20: 读取文件成功
2016-10-30T00:21:23: 读取文件成功
2016-10-30T00:21:26: 读取文件成功
2016-10-30T00:21:29: 读取文件成功
2016-10-30T00:21:32: 读取文件成功
2016-10-30T00:21:35: 读取文件成功
2016-10-30T00:21:38: 读取文件成功
2016-10-30T00:21:41: 读取文件成功
2016-10-30T00:21:44: 读取文件成功
2016-10-30T00:21:47: 读取文件成功
2016-10-30T00:21:50: 读取文件成功
2016-10-30T00:21:53: 读取文件成功
2016-10-30T00:21:56: 读取文件成功
2016-10-30T00:21:59: 读取文件成功
2016-10-30T00:22:02: 读取文件成功
2016-10-30T00:22:05: 读取文件成功
2016-10-30T00:22:08: 读取文件成功
2016-10-30T00:22:11: 读取文件成功
2016-10-30T00:22:15: 读取文件成功
2016-10-30T00:22:17: 读取文件成功
2016-10-30T00:22:20: 读取文件成功
2016-10-30T00:22:23: 读取文件成功
2016-10-30T00:22:26: 读取文件成功
2016-10-30T00:22:29: 读取文件成功
2016-10-30T00:22:32: 读取文件成功
2016-10-30T00:22:35: 读取文件成功
2016-10-30T00:22:38: 读取文件成功
2016-10-30T00:22:42: 读取文件成功
2016-10-30T00:22:45: 读取文件成功
2016-10-30T00:22:48: 读取文件成功
2016-10-30T00:22:51: 读取文件成功
2016-10-30T00:22:54: 读取文件成功
2016-10-30T00:22:57: 读取文件成功
2016-10-30T00:23:00: 读取文件成功
2016-10-30T00:23:03: 读取文件成功
2016-10-30T00:23:06: 读取文件成功
2016-10-30T00:23:09: 读取文件成功
2016-10-30T00:23:12: 读取文件成功
2016-10-30T00:23:15: 读取文件成功
2016-10-30T00:23:18: 读取文件成功
2016-10-30T00:23:21: 读取文件成功
2016-10-30T00:23:24: 读取文件成功
2016-10-30T00:23:27: 读取文件成功
2016-10-30T00:23:30: 读取文件成功
2016-10-30T00:23:33: 读取文件成功
2016-10-30T00:23:36: 读取文件成功
2016-10-30T00:23:39: 读取文件成功
2016-10-30T00:23:42: 读取文件成功
2016-10-30T00:23:45: 读取文件成功
2016-10-30T00:23:48: 读取文件成功
2016-10-30T00:23:51: 读取文件成功
2016-10-30T00:23:54: 读取文件成功
2016-10-30T00:23:57: 读取文件成功
2016-10-30T00:24:00: 读取文件成功
2016-10-30T00:24:03: 读取文件成功
2016-10-30T00:24:06: 读取文件成功
2016-10-30T00:24:09: 读取文件成功
2016-10-30T00:24:12: 读取文件成功
2016-10-30T00:24:15: 读取文件成功
2016-10-30T00:24:18: 读取文件成功
2016-10-30T00:24:21: 读取文件成功
2016-10-30T00:24:24: 读取文件成功
2016-10-30T00:24:27: 读取文件成功
2016-10-30T00:24:30: 读取文件成功
2016-10-30T00:24:33: 读取文件成功
2016-10-30T00:24:36: 读取文件成功
2016-10-30T00:24:39: 读取文件成功
2016-10-30T00:24:42: 读取文件成功
2016-10-30T00:24:45: 读取文件成功
2016-10-30T00:24:48: 读取文件成功
2016-10-30T00:24:51: 读取文件成功
2016-10-30T00:24:54: 读取文件成功
2016-10-30T00:24:57: 读取文件成功
2016-10-30T00:25:00: 读取文件成功
2016-10-30T00:25:03: 读取文件成功
2016-10-30T00:25:06: 读取文件成功
2016-10-30T00:25:09: 读取文件成功
2016-10-30T00:25:12: 读取文件成功
2016-10-30T00:25:15: 读取文件成功
2016-10-30T00:25:18: 读取文件成功
2016-10-30T00:25:21: 读取文件成功
2016-10-30T00:25:24: 读取文件成功
2016-10-30T00:25:27: 读取文件成功
2016-10-30T00:25:30: 读取文件成功
2016-10-30T00:25:33: 读取文件成功
2016-10-30T00:25:36: 读取文件成功
2016-10-30T00:25:39: 读取文件成功
2016-10-30T00:25:42: 读取文件成功
2016-10-30T00:25:45: 读取文件成功
2016-10-30T00:25:48: 读取文件成功
2016-10-30T00:25:51: 读取文件成功
2016-10-30T00:25:54: 读取文件成功
2016-10-30T00:25:57: 读取文件成功
2016-10-30T00:26:00: 读取文件成功
2016-10-30T00:26:03: 读取文件成功
2016-10-30T00:26:06: 读取文件成功
2016-10-30T00:26:09: 读取文件成功
2016-10-30T00:26:12: 读取文件成功
2016-10-30T00:26:15: 读取文件成功
2016-10-30T00:26:18: 读取文件成功
2016-10-30T00:26:21: 读取文件成功
2016-10-30T00:26:24: 读取文件成功
2016-10-30T00:26:27: 读取文件成功
2016-10-30T00:26:30: 读取文件成功
2016-10-30T00:26:33: 读取文件成功
2016-10-30T00:26:36: 读取文件成功
2016-10-30T00:26:39: 读取文件成功
2016-10-30T00:26:42: 读取文件成功
2016-10-30T00:26:45: 读取文件成功
2016-10-30T00:26:48: 读取文件成功
2016-10-30T00:26:51: 读取文件成功
2016-10-30T00:26:54: 读取文件成功
2016-10-30T00:26:57: 读取文件成功
2016-10-30T00:27:00: 读取文件成功
2016-10-30T00:27:03: 读取文件成功
2016-10-30T00:27:06: 读取文件成功
2016-10-30T00:27:09: 读取文件成功
2016-10-30T00:27:12: 读取文件成功
2016-10-30T00:27:15: 读取文件成功
2016-10-30T00:27:18: 读取文件成功
2016-10-30T00:27:21: 读取文件成功
2016-10-30T00:27:24: 读取文件成功
2016-10-30T00:27:27: 读取文件成功
2016-10-30T00:27:30: 读取文件成功
2016-10-30T00:27:33: 读取文件成功
2016-10-30T00:27:36: 读取文件成功
2016-10-30T00:27:39: 读取文件成功
2016-10-30T00:27:42: 读取文件成功
2016-10-30T00:27:45: 读取文件成功
2016-10-30T00:27:48: 读取文件成功
2016-10-30T00:27:51: 读取文件成功
2016-10-30T00:27:54: 读取文件成功
2016-10-30T00:27:57: 读取文件成功
2016-10-30T00:28:00: 读取文件成功
2016-10-30T00:28:03: 读取文件成功
