2016-10-28T00:04:31: Error: ENOENT: no such file or directory, open '2016-10-28.json'
2016-10-28T00:04:31: 读取文件失败，可能是该文件不存在
2016-10-28T00:53:48: 读取文件成功
2016-10-28T00:53:51: 读取文件成功
2016-10-28T00:53:54: 读取文件成功
2016-10-28T00:53:57: 读取文件成功
2016-10-28T00:54:00: 读取文件成功
2016-10-28T00:54:03: 读取文件成功
2016-10-28T00:54:06: 读取文件成功
2016-10-28T00:54:09: 读取文件成功
2016-10-28T00:54:12: 读取文件成功
2016-10-28T00:54:15: 读取文件成功
2016-10-28T00:54:18: 读取文件成功
2016-10-28T00:54:21: 读取文件成功
2016-10-28T00:54:24: 读取文件成功
2016-10-28T00:54:27: 读取文件成功
2016-10-28T00:54:30: 读取文件成功
2016-10-28T00:54:33: 读取文件成功
2016-10-28T00:54:36: 读取文件成功
2016-10-28T00:54:39: 读取文件成功
2016-10-28T00:54:42: 读取文件成功
2016-10-28T00:54:45: 读取文件成功
2016-10-28T00:54:48: 读取文件成功
2016-10-28T00:54:51: 读取文件成功
2016-10-28T00:54:54: 读取文件成功
2016-10-28T00:54:57: 读取文件成功
2016-10-28T00:55:00: 读取文件成功
2016-10-28T00:55:03: 读取文件成功
2016-10-28T00:55:06: 读取文件成功
2016-10-28T00:55:09: 读取文件成功
2016-10-28T00:55:13: 读取文件成功
2016-10-28T00:55:18: 读取文件成功
2016-10-28T00:55:18: 读取文件成功
2016-10-28T00:55:21: 读取文件成功
2016-10-28T00:55:24: 读取文件成功
2016-10-28T00:55:27: 读取文件成功
2016-10-28T00:55:30: 读取文件成功
2016-10-28T00:55:33: 读取文件成功
2016-10-28T00:55:36: 读取文件成功
2016-10-28T00:55:39: 读取文件成功
2016-10-28T00:55:42: 读取文件成功
2016-10-28T00:55:45: 读取文件成功
2016-10-28T00:55:48: 读取文件成功
2016-10-28T00:55:51: 读取文件成功
2016-10-28T00:56:02: 读取文件成功
2016-10-28T00:56:02: 读取文件成功
2016-10-28T00:56:02: 读取文件成功
2016-10-28T00:56:03: 读取文件成功
2016-10-28T00:56:06: 读取文件成功
2016-10-28T00:56:09: 读取文件成功
2016-10-28T00:56:12: 读取文件成功
2016-10-28T00:56:15: 读取文件成功
2016-10-28T00:56:18: 读取文件成功
2016-10-28T00:56:21: 读取文件成功
2016-10-28T00:56:24: 读取文件成功
2016-10-28T00:56:27: 读取文件成功
2016-10-28T00:56:30: 读取文件成功
2016-10-28T00:56:33: 读取文件成功
2016-10-28T00:56:36: 读取文件成功
2016-10-28T00:56:39: 读取文件成功
2016-10-28T00:56:42: 读取文件成功
2016-10-28T00:56:45: 读取文件成功
2016-10-28T00:56:48: 读取文件成功
2016-10-28T00:56:51: 读取文件成功
2016-10-28T00:56:54: 读取文件成功
2016-10-28T00:56:57: 读取文件成功
2016-10-28T00:57:00: 读取文件成功
2016-10-28T00:57:03: 读取文件成功
2016-10-28T00:57:06: 读取文件成功
2016-10-28T00:57:09: 读取文件成功
2016-10-28T00:57:12: 读取文件成功
2016-10-28T00:57:15: 读取文件成功
2016-10-28T00:57:18: 读取文件成功
2016-10-28T00:57:21: 读取文件成功
2016-10-28T00:57:24: 读取文件成功
2016-10-28T00:57:27: 读取文件成功
2016-10-28T00:57:30: 读取文件成功
2016-10-28T00:57:33: 读取文件成功
2016-10-28T00:57:36: 读取文件成功
2016-10-28T00:57:39: 读取文件成功
2016-10-28T00:57:42: 读取文件成功
2016-10-28T00:57:45: 读取文件成功
2016-10-28T00:57:48: 读取文件成功
2016-10-28T00:57:51: 读取文件成功
2016-10-28T00:57:54: 读取文件成功
2016-10-28T00:57:57: 读取文件成功
2016-10-28T00:58:00: 读取文件成功
2016-10-28T00:58:03: 读取文件成功
2016-10-28T00:58:06: 读取文件成功
2016-10-28T00:58:09: 读取文件成功
2016-10-28T00:58:12: 读取文件成功
2016-10-28T00:58:15: 读取文件成功
2016-10-28T00:58:18: 读取文件成功
2016-10-28T00:58:21: 读取文件成功
2016-10-28T00:58:24: 读取文件成功
2016-10-28T00:58:27: 读取文件成功
2016-10-28T00:58:30: 读取文件成功
