2016-10-27T00:00:02: Error: ENOENT: no such file or directory, open '2016-10-27.json'
2016-10-27T00:00:02: 读取文件失败，可能是该文件不存在
2016-10-27T00:07:36: 读取文件成功
2016-10-27T00:07:39: 读取文件成功
2016-10-27T00:07:42: 读取文件成功
2016-10-27T00:07:46: 读取文件成功
2016-10-27T00:07:48: 读取文件成功
2016-10-27T00:07:51: 读取文件成功
2016-10-27T00:07:54: 读取文件成功
2016-10-27T00:07:57: 读取文件成功
2016-10-27T00:08:00: 读取文件成功
2016-10-27T00:08:04: 读取文件成功
2016-10-27T00:08:06: 读取文件成功
2016-10-27T00:08:09: 读取文件成功
2016-10-27T00:08:12: 读取文件成功
2016-10-27T00:08:15: 读取文件成功
2016-10-27T00:08:18: 读取文件成功
2016-10-27T00:08:21: 读取文件成功
2016-10-27T00:08:24: 读取文件成功
2016-10-27T00:08:27: 读取文件成功
2016-10-27T00:08:31: 读取文件成功
2016-10-27T00:08:34: 读取文件成功
2016-10-27T00:08:37: 读取文件成功
2016-10-27T00:08:40: 读取文件成功
2016-10-27T00:08:43: 读取文件成功
2016-10-27T00:08:46: 读取文件成功
2016-10-27T00:08:49: 读取文件成功
2016-10-27T00:08:52: 读取文件成功
2016-10-27T00:08:55: 读取文件成功
2016-10-27T00:08:58: 读取文件成功
2016-10-27T00:09:01: 读取文件成功
2016-10-27T00:09:04: 读取文件成功
2016-10-27T00:09:07: 读取文件成功
2016-10-27T00:09:10: 读取文件成功
2016-10-27T00:09:13: 读取文件成功
2016-10-27T00:09:16: 读取文件成功
2016-10-27T00:09:19: 读取文件成功
2016-10-27T00:09:22: 读取文件成功
2016-10-27T00:09:25: 读取文件成功
2016-10-27T00:09:28: 读取文件成功
2016-10-27T00:09:31: 读取文件成功
2016-10-27T00:09:34: 读取文件成功
2016-10-27T00:09:37: 读取文件成功
2016-10-27T00:09:40: 读取文件成功
2016-10-27T00:09:43: 读取文件成功
2016-10-27T00:09:46: 读取文件成功
2016-10-27T00:09:49: 读取文件成功
2016-10-27T00:09:52: 读取文件成功
2016-10-27T00:09:55: 读取文件成功
2016-10-27T00:09:58: 读取文件成功
2016-10-27T00:10:01: 读取文件成功
2016-10-27T00:10:04: 读取文件成功
2016-10-27T00:10:07: 读取文件成功
2016-10-27T00:10:10: 读取文件成功
2016-10-27T00:10:13: 读取文件成功
2016-10-27T00:10:16: 读取文件成功
2016-10-27T00:10:19: 读取文件成功
2016-10-27T00:10:22: 读取文件成功
2016-10-27T00:10:25: 读取文件成功
2016-10-27T00:10:28: 读取文件成功
2016-10-27T00:10:31: 读取文件成功
2016-10-27T00:10:34: 读取文件成功
2016-10-27T00:10:37: 读取文件成功
2016-10-27T00:10:40: 读取文件成功
2016-10-27T00:10:43: 读取文件成功
2016-10-27T00:10:46: 读取文件成功
2016-10-27T00:10:49: 读取文件成功
2016-10-27T00:10:52: 读取文件成功
2016-10-27T00:10:55: 读取文件成功
2016-10-27T00:10:58: 读取文件成功
2016-10-27T00:11:01: 读取文件成功
2016-10-27T00:11:04: 读取文件成功
2016-10-27T00:11:07: 读取文件成功
2016-10-27T00:11:10: 读取文件成功
2016-10-27T00:11:13: 读取文件成功
2016-10-27T00:11:16: 读取文件成功
2016-10-27T00:11:19: 读取文件成功
2016-10-27T00:11:22: 读取文件成功
2016-10-27T00:11:25: 读取文件成功
2016-10-27T00:11:28: 读取文件成功
2016-10-27T00:11:31: 读取文件成功
2016-10-27T00:11:34: 读取文件成功
2016-10-27T00:11:37: 读取文件成功
2016-10-27T00:11:40: 读取文件成功
2016-10-27T00:11:43: 读取文件成功
2016-10-27T00:11:46: 读取文件成功
2016-10-27T00:11:49: 读取文件成功
2016-10-27T00:11:52: 读取文件成功
2016-10-27T00:11:55: 读取文件成功
2016-10-27T00:11:58: 读取文件成功
2016-10-27T00:12:01: 读取文件成功
2016-10-27T00:12:04: 读取文件成功
2016-10-27T00:12:07: 读取文件成功
2016-10-27T00:12:10: 读取文件成功
2016-10-27T00:12:13: 读取文件成功
2016-10-27T00:12:16: 读取文件成功
2016-10-27T00:12:19: 读取文件成功
2016-10-27T00:12:22: 读取文件成功
2016-10-27T00:12:25: 读取文件成功
2016-10-27T00:12:28: 读取文件成功
2016-10-27T00:12:31: 读取文件成功
2016-10-27T00:12:34: 读取文件成功
2016-10-27T00:12:37: 读取文件成功
2016-10-27T00:12:40: 读取文件成功
2016-10-27T00:12:43: 读取文件成功
2016-10-27T00:12:46: 读取文件成功
2016-10-27T00:12:49: 读取文件成功
2016-10-27T00:12:52: 读取文件成功
2016-10-27T00:12:55: 读取文件成功
2016-10-27T00:12:58: 读取文件成功
2016-10-27T00:13:01: 读取文件成功
2016-10-27T00:13:04: 读取文件成功
2016-10-27T00:13:07: 读取文件成功
2016-10-27T00:13:10: 读取文件成功
2016-10-27T00:13:13: 读取文件成功
2016-10-27T00:13:16: 读取文件成功
2016-10-27T00:13:19: 读取文件成功
2016-10-27T00:13:22: 读取文件成功
2016-10-27T00:13:25: 读取文件成功
2016-10-27T00:13:28: 读取文件成功
2016-10-27T00:13:31: 读取文件成功
2016-10-27T00:13:34: 读取文件成功
